year,month,categorie,value,shares
1985,5,3,258244.0,0.041470963067262084
1985,5,4,1.416558e6,0.22748263077025854
1985,5,5,2.767645e6,0.44445138542731905
1985,5,6,1.346166e6,0.21617849966854577
1985,5,7,438491.0,0.0704165210666146
1985,5,8,0.0,0.0
1985,6,0,0.0,0.0
1985,6,1,0.0,0.0
1985,6,2,0.0,0.0
1985,6,3,137389.0,0.02206306494961382
1985,6,4,1.334865e6,0.21436369137242609
1985,6,5,3.206191e6,0.5148767388500337
1985,6,6,1.525943e6,0.24504858117031608
1985,6,7,22716.0,0.0036479236576103433
1985,6,8,0.0,0.0
1985,7,0,0.0,0.0
1985,7,1,7340.0,0.001178718068623874
1985,7,2,443557.0,0.07123006135757488
1985,7,3,671640.0,0.10785752092786631
1985,7,4,1.121212e6,0.1800535208662004
1985,7,5,1.534993e6,0.24650190521950494
1985,7,6,1.753952e6,0.28166415720694565
1985,7,7,683767.0,0.10980497515377935
1985,7,8,10643.0,0.0017091411995046172
1985,8,0,127184.0,0.020424261422324085
1985,8,1,610751.0,0.09807946037194817
1985,8,2,648093.0,0.10407614839899895
1985,8,3,1.188245e6,0.19081823589263966
1985,8,4,1.634634e6,0.2625030832952204
1985,8,5,487954.0,0.07835969978982205
1985,8,6,898818.0,0.14433964809323885
1985,8,7,624049.0,0.10021496348864577
1985,8,8,7376.0,0.0011844992471620837
1985,9,0,1.061518e6,0.1704673633200923
1985,9,1,1.422235e6,0.22839429050807566
1985,9,2,1.535724e6,0.24661929526148912
1985,9,3,1.805576e6,0.2899543672307384
1985,9,4,397593.0,0.06384878107062288
1985,9,5,4458.0,0.000715902608981639
1985,9,6,0.0,0.0
1985,9,7,0.0,0.0
1985,9,8,0.0,0.0
1985,10,0,524378.0,0.08420896776414848
1985,10,1,2.275636e6,0.36544050011048473
1985,10,2,1.745031e6,0.28023154904751874
1985,10,3,1.669587e6,0.26811612589094386
1985,10,4,12472.0,0.0020028571869042176
1985,10,5,0.0,0.0
1985,10,6,0.0,0.0
1985,10,7,0.0,0.0
1985,10,8,0.0,0.0
1985,11,0,0.0,0.0
1985,11,1,564283.0,0.09061724358546124
1985,11,2,3.377043e6,0.5423135698392062
1985,11,3,2.05663e6,0.3302707004732858
1985,11,4,229148.0,0.03679848610204679
1985,11,5,0.0,0.0
1985,11,6,0.0,0.0
1985,11,7,0.0,0.0
1985,11,8,0.0,0.0
1985,12,0,1.529834e6,0.24567343021732094
1985,12,1,1.780309e6,0.2858967828383788
1985,12,2,2.330184e6,0.3742002703022143
1985,12,3,586777.0,0.09422951664208595
1985,12,4,0.0,0.0
1985,12,5,0.0,0.0
1985,12,6,0.0,0.0
1985,12,7,0.0,0.0
1985,12,8,0.0,0.0
1986,1,0,31688.0,0.005088721819966392
1986,1,1,344185.0,0.055272081532603275
1986,1,2,1.586374e6,0.2547530922881648
1986,1,3,1.661054e6,0.2667458259890954
1986,1,4,2.180219e6,0.3501176469832526
1986,1,5,423584.0,0.06802263138691758
1986,1,6,0.0,0.0
1986,1,7,0.0,0.0
1986,1,8,0.0,0.0
1986,2,0,0.0,0.0
1986,2,1,0.0,0.0
1986,2,2,62139.0,0.009978795921828189
1986,2,3,1.44448e6,0.2319665770798111
1986,2,4,4.720485e6,0.7580546269983607
1986,2,5,0.0,0.0
1986,2,6,0.0,0.0
1986,2,7,0.0,0.0
1986,2,8,0.0,0.0
1986,3,0,0.0,0.0
1986,3,1,7920.0,0.0012718592784061419
1986,3,2,5.981547e6,0.9605664206025787
1986,3,3,237637.0,0.0381617201190152
1986,3,4,0.0,0.0
1986,3,5,0.0,0.0
1986,3,6,0.0,0.0
1986,3,7,0.0,0.0
1986,3,8,0.0,0.0
1986,4,0,0.0,0.0
1986,4,1,0.0,0.0
1986,4,2,0.0,0.0
1986,4,3,723639.0,0.11620795156143209
1986,4,4,5.203611e6,0.8356390065108917
1986,4,5,294633.0,0.04731461045134303
1986,4,6,5221.0,0.0008384314763331398
1986,4,7,0.0,0.0
1986,4,8,0.0,0.0
1986,5,0,0.0,0.0
1986,5,1,0.0,0.0
1986,5,2,0.0,0.0
1986,5,3,7340.0,0.001178718068623874
1986,5,4,303852.0,0.048795073922002906
1986,5,5,1.546112e6,0.2482874864463481
1986,5,6,1.144471e6,0.1837886439667621
1986,5,7,1.672023e6,0.2685073189720294
1986,5,8,1.553306e6,0.24944275862423368
1986,6,0,0.0,0.0
1986,6,1,0.0,0.0
1986,6,2,0.0,0.0
1986,6,3,469950.0,0.07546846816754627
1986,6,4,1.161169e6,0.18647014727873504
1986,6,5,2.574658e6,0.4134599325786112
1986,6,6,1.693248e6,0.2719158054851822
1986,6,7,328079.0,0.05268564648992533
1986,6,8,0.0,0.0
1986,7,0,0.0,0.0
1986,7,1,0.0,0.0
1986,7,2,220368.0,0.03538852089189453
1986,7,3,1.251082e6,0.20090912244279202
1986,7,4,2.921502e6,0.46915901838157836
1986,7,5,1.809588e6,0.2905986474611633
1986,7,6,24564.0,0.003944690822571776
1986,7,7,0.0,0.0
1986,7,8,0.0,0.0
1986,8,0,0.0,0.0
1986,8,1,721060.0,0.11579379435448645
1986,8,2,2.918706e6,0.4687100135151107
1986,8,3,2.154653e6,0.3460120466913673
1986,8,4,416785.0,0.06693079158465957
1986,8,5,15900.0,0.0025533538543759666
1986,8,6,0.0,0.0
1986,8,7,0.0,0.0
1986,8,8,0.0,0.0
1986,9,0,0.0,0.0
1986,9,1,23936.0,0.0038438413747385624
1986,9,2,540942.0,0.08686895224489587
1986,9,3,3.320797e6,0.5332811207264243
1986,9,4,2.0816e6,0.33428059014270517
1986,9,5,259829.0,0.04172549551123604
1986,9,6,0.0,0.0
1986,9,7,0.0,0.0
1986,9,8,0.0,0.0
1986,10,0,0.0,0.0
1986,10,1,0.0,0.0
1986,10,2,0.0,0.0
1986,10,3,306839.0,0.04927475115238159
1986,10,4,3.7183e6,0.5971154488507017
1986,10,5,2.201965e6,0.3536097999969167
1986,10,6,0.0,0.0
1986,10,7,0.0,0.0
1986,10,8,0.0,0.0
1986,11,0,0.0,0.0
1986,11,1,0.0,0.0
1986,11,2,0.0,0.0
1986,11,3,180272.0,0.028949572706670708
1986,11,4,1.469498e6,0.23598417498728141
1986,11,5,4.48051e6,0.7195174514509474
1986,11,6,96824.0,0.01554880085510054
1986,11,7,0.0,0.0
1986,11,8,0.0,0.0
1986,12,0,0.0,0.0
1986,12,1,0.0,0.0
1986,12,2,0.0,0.0
1986,12,3,184955.0,0.029701607681516157
1986,12,4,1.255514e6,0.20162084975616273
1986,12,5,3.123829e6,0.5016503658843662
1986,12,6,1.370637e6,0.22010825577989382
1986,12,7,292169.0,0.04691892089806112
1986,12,8,0.0,0.0
1987,1,0,15928.0,0.002557850326572352
1987,1,1,506472.0,0.08133347379456005
1987,1,2,2.136423e6,0.34308452211493495
1987,1,3,2.213191e6,0.3554125641710818
1987,1,4,1.31961e6,0.2119139169668597
1987,1,5,35480.0,0.005697672625991151
1987,1,6,0.0,0.0
1987,1,7,0.0,0.0
1987,1,8,0.0,0.0
1987,2,0,0.0,0.0
1987,2,1,191911.0,0.03081865984573246
1987,2,2,3.189997e6,0.5122761720375957
1987,2,3,2.224192e6,0.357179195979383
1987,2,4,597787.0,0.09599759374502176
1987,2,5,23217.0,0.0037283783922670956
1987,2,6,0.0,0.0
1987,2,7,0.0,0.0
1987,2,8,0.0,0.0
1987,3,0,0.0,0.0
1987,3,1,0.0,0.0
1987,3,2,0.0,0.0
1987,3,3,0.0,0.0
1987,3,4,784061.0,0.12591101738464622
1987,3,5,4.481299e6,0.7196441556139098
1987,3,6,961744.0,0.15444482700144402
1987,3,7,0.0,0.0
1987,3,8,0.0,0.0
1987,4,0,0.0,0.0
1987,4,1,0.0,0.0
1987,4,2,0.0,0.0
1987,4,3,2951.0,0.0004738960518404703
1987,4,4,657692.0,0.10561763542089549
1987,4,5,2.593384e6,0.41646710894823663
1987,4,6,2.715046e6,0.4360046018181164
